signature,compound,overlap,p,direction,z-sum
Androstanolone-dn,Androstanolone,3,0.9893676226508066,dn,-0.004642306155151741
Imatinib (glivec)-up,Imatinib,2,0.978509439589575,up,-0.009434980387288397
Imatinib (glivec)-dn,Imatinib,3,0.9380210962897857,dn,-0.027787394137764838
Fluticasone-up,Fluticasone,2,0.9969770015738488,up,-0.0013148599478953896
Fluticasone-dn,Fluticasone,2,0.8459839367806992,dn,-0.07263788310014187
Letrozole-up,Letrozole,2,0.9693821210235879,up,-0.013504994529086475
Letrozole-dn,Letrozole,4,0.8839553913702684,dn,-0.053569651016976534
Corticosterone-up,Corticosterone,2,0.9873692745328748,up,-0.00552039150624401
Corticosterone-dn,Corticosterone,2,0.9659550949605072,dn,-0.015043062470796753
Rosiglitazone effect on prdm16-deficient inguinal white adipose tissue-up,Rosiglitazone,2,0.9917696033270632,up,-0.003589206500265282
Rosiglitazone effect on prdm16-deficient inguinal white adipose tissue-dn,Rosiglitazone,5,0.47339022079522336,dn,-0.3247807178867396
Actinomycin d-up,Actinomycin,1,0.997453681395671,up,-0.0011072624395320769
Actinomycin d-dn,Actinomycin,1,0.9971089102671647,dn,-0.0012574028269503432
Mek inhibitor (meki : azd6244)-up,Mek,4,0.8978902464074613,up,-0.0467767460639631
