gene_id,mouse_symbol,human_symbol,pooled_log2FC,pvalue,padj,direction,I2,k,n_studies_up,n_studies_down,core
ENSMUSG00000049354,Dcaf7,DCAF7,0.12154745671711495,0.048769572088193845,0.9999896186065661,up,44.441312151687946,4,4,0,FALSE
ENSMUSG00000066760,Psg16,NA,0.12117290844135226,0.020552231249605576,0.9999896186065661,up,0,4,3,1,FALSE
ENSMUSG00000038812,Trmt112,TRMT112,-0.12115411686209186,0.03835974065651799,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000042043,Tbca,TBCA,-0.12109030641493114,0.04213924252849053,0.9999896186065661,down,0.008455288014090626,4,0,4,FALSE
ENSMUSG00000028613,Lrp8,LRP8,0.12106839800034498,0.022539340617753825,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000035048,Anapc13,ANAPC13,-0.12088233989721243,0.020343753690202648,0.9999896186065661,down,0.009114669639131304,4,0,4,FALSE
ENSMUSG00000022433,Csnk1e,CSNK1E,0.12071000578454007,0.009851179369754305,0.9999896186065661,up,1.4259209702692293,4,4,0,FALSE
ENSMUSG00000020083,Fam241b,C10orf35,-0.12040658503949969,0.029972019411511956,0.9999896186065661,down,13.776068024280903,4,0,4,FALSE
ENSMUSG00000028982,Slc25a33,SLC25A33,-0.12013068314687118,0.036734342341141896,0.9999896186065661,down,0.9198016372927728,4,0,4,FALSE
ENSMUSG00000040147,Maob,MAOB,0.12004160919735353,0.01362164325598325,0.9999896186065661,up,0,4,4,0,FALSE
ENSMUSG00000002379,Ndufa11,NDUFA11,-0.11992816659536117,0.04833544155683556,0.9999896186065661,down,0.014866074593027504,4,0,4,FALSE
ENSMUSG00000015804,Med28,MED28,-0.11965356458459878,0.008635368685893478,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000031848,Lsm4,LSM4,-0.119528664045639,0.028020413132710476,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000041731,Pgm5,PGM5,-0.11933954780766147,0.037377817098885165,0.9999896186065661,down,20.058594540795912,4,0,4,FALSE
ENSMUSG00000089917,Uckl1,UCKL1,-0.11931270430927172,0.020911985932256988,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000039771,Polr2j,POLR2J,-0.11918361785295378,0.02849060307751719,0.9999896186065661,down,15.032044536297303,4,0,4,FALSE
ENSMUSG00000074457,S100a16,S100A16,-0.11914819777529587,0.04054530878993864,0.9999896186065661,down,0,4,1,3,FALSE
ENSMUSG00000024346,Pfdn1,PFDN1,-0.11888002689736892,0.004834749669498618,0.9999896186065661,down,0,4,0,4,FALSE
ENSMUSG00000034621,Gpatch8,GPATCH8,0.11880243767790383,0.020645608703714822,0.9999896186065661,up,16.75637155051997,4,4,0,FALSE
ENSMUSG00000017781,Pitpna,PITPNA,0.11877905283099717,0.024898451527879183,0.9999896186065661,up,38.33031714140611,4,4,0,FALSE
ENSMUSG00000040681,Hmgn1,HMGN1,-0.1187085818283776,0.020791812843476483,0.9999896186065661,down,0,4,0,4,FALSE
