osd_id,glds_id,title,organism,tissue,tissue_stratum,project_type,project_id,mission,flight_program,factor_type
OSD-916,GLDS-766,MicroRNAs shape mouse age-independent tissue adaptation to spaceflight via ECM and developmental pathways - Brain data,Mus musculus,brain,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,Rodent Research (RR),Space Flight; Euthanasia Location; Age; Dissection Condition
OSD-927,GLDS-755,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Myeloid cerebellum data,Mus musculus,myeloid cerebellum,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-928,GLDS-756,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Myeloid forebrain data,Mus musculus,myeloid forebrain,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-929,GLDS-757,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Myeloid hippocampus data,Mus musculus,myeloid hippocampus,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-930,GLDS-758,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Non-myeloid cerebellum data,Mus musculus,non-myeloid cerebellum,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-931,GLDS-759,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Non-myeloid forebrain data,Mus musculus,non-myeloid forebrain,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-932,GLDS-760,Spaceflight induces systemic effects on extracellular matrix and immune system in different age-stages - Non-myeloid hippocampus data,Mus musculus,non-myeloid hippocampus,brain,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,International Space Station (ISS),Space Flight; age
OSD-137,GLDS-137,"Rodent Research-3-CASIS: Mouse liver transcriptomic, proteomic, epigenomic and histology data",Mus musculus,Liver,liver_immune,Spaceflight Study,RR-3,SpaceX-8,International Space Station (ISS),Space Flight
OSD-164,GLDS-164,Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,Mus musculus,Spleen,liver_immune,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight; Tissue
OSD-164,GLDS-164,Effects of spaceflight on the immunoglobulin repertoire of unimmunized C57BL/6 mice,Mus musculus,Liver,liver_immune,Spaceflight Study,RR-1,SpaceX-4,International Space Station (ISS),Space Flight; Tissue
OSD-168,GLDS-168,RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins,Mus musculus,Liver,liver_immune,Spaceflight Study,"RR-1, RR-3",SpaceX-4,International Space Station (ISS),Space Flight; ERCC RNA spike-in; Space Mission
OSD-168,GLDS-168,RR-1 and RR-3 mouse liver transcriptomics with and without ERCC control RNA spike-ins,Mus musculus,Liver,liver_immune,Spaceflight Study,"RR-1, RR-3",SpaceX-8,International Space Station (ISS),Space Flight; ERCC RNA spike-in; Space Mission
OSD-173,GLDS-173,STS-135: Mouse Liver Transcriptomics using RNA-Seq,Mus musculus,Liver,liver_immune,Spaceflight Study,BSP135,STS-135,Space Transportation System (STS),Space Flight
OSD-242,GLDS-242,Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis,Mus musculus,Liver,liver_immune,Spaceflight Study,RR-9,SpaceX-12,International Space Station (ISS),Space Flight
OSD-244,GLDS-244,Transcriptional analysis of thymus from mice flown on the RR-6 Mission,Mus musculus,Thymus,liver_immune,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; dissection; Euthanasia Location
OSD-245,GLDS-245,Transcriptional analysis of liver from mice flown on the RR-6 mission,Mus musculus,Liver,liver_immune,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; dissection; Euthanasia Location
OSD-246,GLDS-246,Transcriptional analysis of spleen from mice flown on the RR-6 mission,Mus musculus,Spleen,liver_immune,Spaceflight Study,RR-6,SpaceX-13,International Space Station (ISS),Space Flight; duration; dissection; Euthanasia Location
OSD-288,GLDS-288,Transcriptome analysis of murine spleen in space,Mus musculus,Spleen,liver_immune,Spaceflight Study,MHU-1,SpaceX-9,Internation Space Station (ISS),"Space Flight; Gravity, Altered"
OSD-289,GLDS-289,Impact of spaceflight on gene expression in the thymus,Mus musculus,thymus,liver_immune,Spaceflight study,"MHU-1, MHU-2",SpaceX-9,International Space Station (ISS),"Space Flight; Gravity, Altered; Space Mission"
OSD-289,GLDS-289,Impact of spaceflight on gene expression in the thymus,Mus musculus,thymus,liver_immune,Spaceflight study,"MHU-1, MHU-2",SpaceX-12,International Space Station (ISS),"Space Flight; Gravity, Altered; Space Mission"
OSD-379,GLDS-379,Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1),Mus musculus,Left Lobe of the Liver,liver_immune,Spaceflight Study,RRRM-1 (RR-8),SpaceX-16,Internation Space Station (ISS),Space Flight; duration; Euthanasia Location; Dissection Condition; age
OSD-402,GLDS-402,Single cell transcriptional profiling of femur bone marrow from mice flown on Rodent Research Reference Mission-2 (RRRM-2),Mus musculus,Bone marrow of femur,liver_immune,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age
OSD-403,GLDS-403,Single cell transcriptional profiling of humerus bone marrow from mice flown on Rodent Research Reference Mission-2 (RRRM-2),Mus musculus,Bone marrow of humerus,liver_immune,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age
OSD-404,GLDS-404,Single cell transcriptional profiling of peripheral blood mononuclear cells (PBMCs) from mice flown on Rodent Research Reference Mission-2 (RRRM-2),Mus musculus,peripheral blood mononuclear cell,liver_immune,Spaceflight Study,RR-17,SpaceX-18,International Space Station (ISS),Space Flight; age
