ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
REACTOME_G2_M_CHECKPOINTS,REACTOME_G2_M_CHECKPOINTS,113,-0.4627744155948761,-1.622259466552386,6.402826353900668e-4,0.006688214838760076,0.004879623014506395,3708,"tags=45%, list=24%, signal=35%",CHEK2/MDC1/ORC3/ATR/CHEK1/PSMC3/ORC6/PSMB2/PKMYT1/RAD1/PSMC4/YWHAQ/PSMD7/PIAS4/RPA2/UBC/CCNB1/CDC6/BRCA1/PSMC6/DBF4/CDK2/MCM7/RAD9A/MCM3/MCM2/RFC3/RFC4/TOP3A/PSMD6/RFC2/PSMA6/PSMB5/PSMA3/CDC45/ORC4/PSMA1/UIMC1/PSMA5/PSMB1/RNF168/PSMA2/CCNB2/PSMB4/PSMD14/ADRM1/RPA3/PSMD13/PSMB6/PSMA7/PSMB3
REACTOME_CDC42_GTPASE_CYCLE,REACTOME_CDC42_GTPASE_CYCLE,145,0.4264504619966397,1.5961979310038796,6.49485651503017e-4,0.006688214838760076,0.004879623014506395,3415,"tags=34%, list=22%, signal=27%",ARHGEF11/DOCK9/DAAM1/PIK3R1/DOCK7/CDC42BPA/ARHGEF26/ARHGAP35/ARHGEF25/ARHGAP1/ARHGAP20/GNA13/PAK3/TIAM1/RASGRF2/PLEKHG1/ABR/IQGAP2/WDR91/ARHGAP31/ARHGEF12/WIPF2/ARHGAP24/SPATA13/PLD1/FGD1/RAB7A/ARHGDIA/ITSN1/SRGAP1/ARHGAP44/PIK3R2/CDC42SE2/ARHGAP17/RALBP1/FMNL2/CDC42BPB/SYDE1/ARHGEF6/OPHN1/ARHGEF4/ARAP2/PAK6/PAK1/FARP1/IQGAP1/DOCK8/ARHGEF5/ARHGAP21/PAK2
REACTOME_BACTERIAL_INFECTION_PATHWAYS,REACTOME_BACTERIAL_INFECTION_PATHWAYS,95,0.4718930070202575,1.685307867672977,6.915817172985328e-4,0.0070677555805736415,0.005156530348278534,2743,"tags=33%, list=18%, signal=27%",STAM2/KPNB1/CBL/MAP2K4/SV2B/COL4A1/RAB5A/MAPK1/MAPK3/LAMA2/KPNA1/COL4A4/COL4A2/LAMB1/ANTXR1/GSK3A/DUSP16/LAMA3/SRC/LAMA5/RAB7A/SYT1/RNF213/SV2A/VPS33B/STX1B/LAMC2/VAMP1/ENO1/CTNND1/PDCD6IP
REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A,46,-0.5723711458067117,-1.7555749047437905,7.1047001861859e-4,0.007206195903131413,0.005257534368091663,1225,"tags=35%, list=8%, signal=32%",PSMD6/PSMA6/PSMB5/PSMA3/SKP1/PSMA1/PSMA5/PSMB1/PSMA2/PSMB4/PSMD14/ADRM1/PSMD13/PSMB6/PSMA7/PSMB3
REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE,REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE,33,0.6291817618057609,1.8539787789739992,7.511429237161372e-4,0.007561879135022903,0.0055170356140973155,3534,"tags=55%, list=23%, signal=42%",PLCG1/PIK3R1/GAB2/CNTRL/FGF1/PIK3CA/TRIM24/STAT3/LRRFIP1/FGF5/FGFR1/BAG4/FGF2/ZMYM2/GAB1/MYO18A/FGF9/KRAS
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS,17,-0.7494229620573268,-1.8753800405635448,7.816020635739545e-4,0.007752802821774005,0.005656330723232566,1202,"tags=65%, list=8%, signal=60%",POLR2G/POLR2H/POLR2C/POLR2E/POLR2F/RAN/POLR2D/POLR2L/POLR2K/POLR2J/POLR2I
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,26,0.675259029939863,1.853158486678871,7.798673486580339e-4,0.007752802821774005,0.005656330723232566,3365,"tags=58%, list=22%, signal=45%",PIK3R1/GAB2/CNTRL/FGF1/PIK3CA/TRIM24/STAT3/LRRFIP1/FGF5/FGFR1/BAG4/FGF2/ZMYM2/MYO18A/FGF9
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,12,0.812114823299252,1.8320641854942388,7.959324459947481e-4,0.007837320216400842,0.005717993369228501,2342,"tags=67%, list=15%, signal=57%",TBL1XR1/TBL1X/HDAC1/MECP2/HDAC3/NCOR1/SIN3A/PRKACA
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX,53,-0.5681378213369529,-1.7945597133219693,8.145500727579459e-4,0.007872932886586638,0.005743975848744494,1507,"tags=32%, list=10%, signal=29%",MNAT1/TCEA1/POLR2G/NCBP2/GTF2H4/MLLT3/POLR2H/POLR2C/POLR2E/POLR2F/CCNH/POLR2D/POLR2L/POLR2K/SUPT4H1/POLR2J/POLR2I
REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,53,-0.5680140071566506,-1.7941686252240399,8.145500727579459e-4,0.007872932886586638,0.005743975848744494,1117,"tags=32%, list=7%, signal=30%",POP1/RPP30/TRNT1/TSEN34/POP5/POP7/FAM98B/NUP85/CLP1/TSEN15/C2orf49/RAN/TSEN2/NUP35/SEC13/RPP14/RPP21
